borough,tier,route_name,equipment_id,gps_specific,gps_combined,route_len,pctcomp_specific,pctcomp_combined
BQ,H1,BQ_99_RH_H101,29FE201,27663.53409,338982.8909,364575.3257,0.075878789,0.770655745
BQ,H1,BQ_99_RH_H101,29FF012,91060.99654,338982.8909,364575.3257,0.249772791,0.770655745
BQ,H1,BQ_99_RH_H101,29FF101,91957.98977,338982.8909,364575.3257,0.252233169,0.770655745
BQ,H1,BQ_99_RH_H101,29FF117,10119.00675,338982.8909,364575.3257,0.0277556,0.770655745
BQ,H1,BQ_99_RH_H101,29FG008,58720.28196,338982.8909,364575.3257,0.161064882,0.770655745
BQ,H1,BQ_99_RH_H101,29FG107,33183.49979,338982.8909,364575.3257,0.091019599,0.770655745
BQ,H1,BQ_99_RH_H101,29FG108,0,338982.8909,364575.3257,0,0.770655745
BQ,H1,BQ_99_RH_H101,29FG112,87894.78061,338982.8909,364575.3257,0.241088122,0.770655745
BQ,H1,BQ_99_RH_H101,29FG204,23377.48433,338982.8909,364575.3257,0.064122508,0.770655745
BQ,H1,BQ_99_RH_H101,29FG217,88555.01781,338982.8909,364575.3257,0.242899098,0.770655745
BQ,H1,BQ_99_RH_H101,29FG319,121429.0877,338982.8909,364575.3257,0.333069956,0.770655745
BQ,H1,BQ_99_RH_H101,29FG321,79754.66605,338982.8909,364575.3257,0.21876046,0.770655745
BQ,H1,BQ_99_RH_H101,38AC206,13343.98012,338982.8909,364575.3257,0.036601435,0.770655745
BQ,H1,BQ_99_RH_H101,38AE006,1755.660262,338982.8909,364575.3257,0.004815631,0.770655745
BQ,H1,BQ_99_RH_H101,38AF005,58467.86265,338982.8909,364575.3257,0.160372517,0.770655745
BQ,H1,BQ_99_RH_H102,29FF006,92865.19999,146864.6364,160634.3063,0.57811561,0.914279395
BQ,H1,BQ_99_RH_H102,29FF105,0,146864.6364,160634.3063,0,0.914279395
BQ,H1,BQ_99_RH_H102,29FG311,37335.93937,146864.6364,160634.3063,0.232428179,0.914279395
BQ,H1,BQ_99_RH_H102,29FG327,59076.57654,146864.6364,160634.3063,0.367770608,0.914279395
BQ,H1,BQ_99_RH_H102,29FG404,73718.57971,146864.6364,160634.3063,0.458921767,0.914279395
BQ,H1,BQ_99_RH_H103,38AE616,12101.5451,69957.17706,78711.37933,0.153745814,0.888780983
BQ,H1,BQ_99_RH_H103,38AE722,38188.47952,69957.17706,78711.37933,0.485171011,0.888780983
BQ,H1,BQ_99_RH_H103,38AF121,59168.72072,69957.17706,78711.37933,0.751717493,0.888780983
BQ,H1,BQ_99_RH_H104,29FF011,238.7079489,125187.4717,143611.437,0.001662179,0.871709623
BQ,H1,BQ_99_RH_H104,29FG111,2189.183922,125187.4717,143611.437,0.015243799,0.871709623
BQ,H1,BQ_99_RH_H104,29FG219,23572.12579,125187.4717,143611.437,0.164138221,0.871709623
BQ,H1,BQ_99_RH_H104,29FG412,82224.9307,125187.4717,143611.437,0.572551409,0.871709623
BQ,H1,BQ_99_RH_H104,38AB320,32809.68091,125187.4717,143611.437,0.228461476,0.871709623
BQ,H1,BQ_99_RH_H104,38AD006,23262.65924,125187.4717,143611.437,0.161983333,0.871709623
BQ,H1,BQ_99_RH_H104,38AE005,22459.15486,125187.4717,143611.437,0.156388344,0.871709623
BQ,H1,BQ_99_RH_H104,38AE018,0,125187.4717,143611.437,0,0.871709623
BQ,H1,BQ_99_RH_H104,38AE608,56891.15293,125187.4717,143611.437,0.396146394,0.871709623
BQ,H1,BQ_99_RH_H105,29FF001,9467.634595,76211.60642,79237.85362,0.119483734,0.961808062
BQ,H1,BQ_99_RH_H105,29FF007,7884.464312,76211.60642,79237.85362,0.099503759,0.961808062
BQ,H1,BQ_99_RH_H105,29FF008,65572.31131,76211.60642,79237.85362,0.827537702,0.961808062
BQ,H1,BQ_99_RH_H105,29FG202,12615.38521,76211.60642,79237.85362,0.159209073,0.961808062
BQ,H1,BQ_99_RH_H105,29FG212,29570.52566,76211.60642,79237.85362,0.373186858,0.961808062
BQ,H1,BQ_99_RH_H105,29FG213,16821.7636,76211.60642,79237.85362,0.212294539,0.961808062
BQ,H1,BQ_99_RH_H105,38AE517,23811.62711,76211.60642,79237.85362,0.30050823,0.961808062
BQ,H1,BQ_99_RH_H105,38AF054,7358.528586,76211.60642,79237.85362,0.092866329,0.961808062
BQ,H1,BQ_99_RH_H106,29FF108,18236.39984,178630.284,265964.349,0.068567084,0.671632438
BQ,H1,BQ_99_RH_H106,29FF112,0,178630.284,265964.349,0,0.671632438
BQ,H1,BQ_99_RH_H106,29FG324,70096.11793,178630.284,265964.349,0.263554564,0.671632438
BQ,H1,BQ_99_RH_H106,29FG325,66634.87093,178630.284,265964.349,0.250540613,0.671632438
BQ,H1,BQ_99_RH_H106,29FG330,68024.24825,178630.284,265964.349,0.255764536,0.671632438
BQ,H1,BQ_99_RH_H106,38AE724,7318.681474,178630.284,265964.349,0.027517528,0.671632438
BQ,H1,BQ_99_RH_H106,38AF115,0,178630.284,265964.349,0,0.671632438
BQ,H1,BQ_99_RH_H106,38AF116,42280.91569,178630.284,265964.349,0.158972117,0.671632438
BQ,H1,BQ_99_RH_H107,29FG010,49005.68198,57056.37645,66318.18485,0.738947878,0.860342854
BQ,H1,BQ_99_RH_H107,38AB318,0,57056.37645,66318.18485,0,0.860342854
BQ,H1,BQ_99_RH_H107,38AE824,0,57056.37645,66318.18485,0,0.860342854
BQ,H1,BQ_99_RH_H107,38AF120,29426.59583,57056.37645,66318.18485,0.443718354,0.860342854
BQ,H1,BQ_99_RH_H108,29FF013,3669.212389,237407.0381,261265.2099,0.014044014,0.908682171
BQ,H1,BQ_99_RH_H108,29FF106,116696.4612,237407.0381,261265.2099,0.446659014,0.908682171
BQ,H1,BQ_99_RH_H108,29FG009,0,237407.0381,261265.2099,0,0.908682171
BQ,H1,BQ_99_RH_H108,29FG114,104753.4649,237407.0381,261265.2099,0.400946858,0.908682171
BQ,H1,BQ_99_RH_H108,29FG328,25239.85153,237407.0381,261265.2099,0.096606248,0.908682171
BQ,H1,BQ_99_RH_H108,29FG329,106514.0635,237407.0381,261265.2099,0.407685599,0.908682171
BQ,H1,BQ_99_RH_H108,38AB224,57686.64902,237407.0381,261265.2099,0.220797285,0.908682171
BQ,H1,BQ_99_RH_H108,38AE021,14931.30561,237407.0381,261265.2099,0.057149996,0.908682171
BQ,H1,BQ_99_RH_H108,38AE823,58871.41209,237407.0381,261265.2099,0.225331999,0.908682171
BQ,H1,BQ_99_RH_H108,38AF036,29224.36872,237407.0381,261265.2099,0.1118571,0.908682171
BQ,H1,BQ_99_RH_H108,38AF118,86009.91625,237407.0381,261265.2099,0.329205394,0.908682171
BQ,H1,BQ_99_RH_H110,29FG316,27146.57555,28626.72365,30009.51568,0.904598922,0.953921548
BQ,H1,BQ_99_RH_H110,29FG317,15609.992,28626.72365,30009.51568,0.520168075,0.953921548
BQ,H1,BQ_99_RH_H111,29FF009,22344.03171,109979.0922,189495.7975,0.117913073,0.580377474
BQ,H1,BQ_99_RH_H111,29FG110,58175.70237,109979.0922,189495.7975,0.307002599,0.580377474
BQ,H1,BQ_99_RH_H111,29FG203,0,109979.0922,189495.7975,0,0.580377474
BQ,H1,BQ_99_RH_H111,29FG216,6999.254219,109979.0922,189495.7975,0.036936198,0.580377474
BQ,H1,BQ_99_RH_H111,29FG401,40733.91975,109979.0922,189495.7975,0.214959489,0.580377474
BQ,H1,BQ_99_RH_H111,29FG405,5987.271844,109979.0922,189495.7975,0.031595803,0.580377474
BQ,H1,BQ_99_RH_H111,38AE007,45585.37706,109979.0922,189495.7975,0.240561414,0.580377474
BQ,H1,BQ_99_RH_H111,38AE010,2997.37628,109979.0922,189495.7975,0.01581764,0.580377474
BQ,H1,BQ_99_RH_H111,38AE106,21468.29839,109979.0922,189495.7975,0.113291686,0.580377474
MB,H1,MB_99_RH_H101,29FG301,45565.96754,60548.26359,77581.31626,0.587331715,0.780449037
MB,H1,MB_99_RH_H101,38AF052,37164.12903,60548.26359,77581.31626,0.479034526,0.780449037
MB,H1,MB_99_RH_H102,29FG209,42188.37164,117491.1941,136005.0621,0.310197069,0.863873684
MB,H1,MB_99_RH_H102,29FG302,25314.96459,117491.1941,136005.0621,0.186132517,0.863873684
MB,H1,MB_99_RH_H102,29FG303,19547.96118,117491.1941,136005.0621,0.143729659,0.863873684
